Issue Key,Title,Link,Labels,Project ID,Project Key,Project Name,Status,Description Filename,Resolution,Comments Filename
HBASE-21846,Flaky Test: testMultiRowRangeWithFilterListOrOperatorWithBlkCnt,https://issues.apache.org/jira/browse/HBASE-21846,,12310753,Resolved,apache_jira_description_comments/HBASE-21846_description.txt,Resolved,apache_jira_description_comments/HBASE-21846_comments.txt
ZOOKEEPER-3193,Flaky: org.apache.zookeeper.test.SaslAuthFailNotifyTest,https://issues.apache.org/jira/browse/ZOOKEEPER-3193,pull-request-available,12310801,Closed,apache_jira_description_comments/ZOOKEEPER-3193_description.txt,Fixed,apache_jira_description_comments/ZOOKEEPER-3193_comments.txt
ZOOKEEPER-3074,Flaky test:org.apache.zookeeper.server.ServerStatsTest.testLatencyMetrics,https://issues.apache.org/jira/browse/ZOOKEEPER-3074,pull-request-available,12310801,Closed,apache_jira_description_comments/ZOOKEEPER-3074_description.txt,Fixed,apache_jira_description_comments/ZOOKEEPER-3074_comments.txt
NIFI-10642,Test groupByStringMixedNumberOfRecords is Flaky,https://issues.apache.org/jira/browse/NIFI-10642,,12316020,Resolved,apache_jira_description_comments/NIFI-10642_description.txt,Fixed,apache_jira_description_comments/NIFI-10642_comments.txt
ZOOKEEPER-3396,Flaky test in RestoreCommittedLogTest,https://issues.apache.org/jira/browse/ZOOKEEPER-3396,pull-request-available,12310801,Resolved,apache_jira_description_comments/ZOOKEEPER-3396_description.txt,Fixed,apache_jira_description_comments/ZOOKEEPER-3396_comments.txt
HTTPCORE-747,Some flaky tests,https://issues.apache.org/jira/browse/HTTPCORE-747,volunteers-wanted,12310340,Resolved,apache_jira_description_comments/HTTPCORE-747_description.txt,Fixed,apache_jira_description_comments/HTTPCORE-747_comments.txt
ZOOKEEPER-3480,Flaky test CommitProcessorMetricsTest.testConcurrentRequestProcessingInCommitProcessor,https://issues.apache.org/jira/browse/ZOOKEEPER-3480,pull-request-available,12310801,Resolved,apache_jira_description_comments/ZOOKEEPER-3480_description.txt,Fixed,apache_jira_description_comments/ZOOKEEPER-3480_comments.txt
ZOOKEEPER-2922,Flaky Test: org.apache.zookeeper.test.LoadFromLogTest,https://issues.apache.org/jira/browse/ZOOKEEPER-2922,"flaky, flaky-test",12310801,Resolved,apache_jira_description_comments/ZOOKEEPER-2922_description.txt,Won't Fix,apache_jira_description_comments/ZOOKEEPER-2922_comments.txt
AVRO-3690,Detected a flaky test ‘testMultipleFieldAliases’,https://issues.apache.org/jira/browse/AVRO-3690,pull-request-available,12310911,Resolved,apache_jira_description_comments/AVRO-3690_description.txt,Fixed,apache_jira_description_comments/AVRO-3690_comments.txt
HIVE-27062,Disable flaky test TestRpc#testClientTimeout,https://issues.apache.org/jira/browse/HIVE-27062,pull-request-available,12310843,Resolved,apache_jira_description_comments/HIVE-27062_description.txt,Fixed,apache_jira_description_comments/HIVE-27062_comments.txt
BEAM-7680,synthetic_pipeline_test.py flaky,https://issues.apache.org/jira/browse/BEAM-7680,,12319527,Resolved,apache_jira_description_comments/BEAM-7680_description.txt,Fixed,apache_jira_description_comments/BEAM-7680_comments.txt
ZOOKEEPER-2807,Flaky test: org.apache.zookeeper.test.WatchEventWhenAutoResetTest.testNodeDataChanged,https://issues.apache.org/jira/browse/ZOOKEEPER-2807,pull-request-available,12310801,Resolved,apache_jira_description_comments/ZOOKEEPER-2807_description.txt,Fixed,apache_jira_description_comments/ZOOKEEPER-2807_comments.txt
IGNITE-17035,The testChangeSnapshotTransferRateInRuntime test is flaky.,https://issues.apache.org/jira/browse/IGNITE-17035,ise,12315922,Resolved,apache_jira_description_comments/IGNITE-17035_description.txt,Fixed,apache_jira_description_comments/IGNITE-17035_comments.txt
BEAM-5709,Tests in BeamFnControlServiceTest are flaky.,https://issues.apache.org/jira/browse/BEAM-5709,flake,12319527,Resolved,apache_jira_description_comments/BEAM-5709_description.txt,Fixed,apache_jira_description_comments/BEAM-5709_comments.txt
HIVE-26710,Test `testThriftSetObjectInspector` is a flaky test,https://issues.apache.org/jira/browse/HIVE-26710,pull-request-available,12310843,Reopened,apache_jira_description_comments/HIVE-26710_description.txt,,apache_jira_description_comments/HIVE-26710_comments.txt
HDDS-1779,TestWatchForCommit tests are flaky,https://issues.apache.org/jira/browse/HDDS-1779,pull-request-available,12321922,Resolved,apache_jira_description_comments/HDDS-1779_description.txt,Fixed,apache_jira_description_comments/HDDS-1779_comments.txt
ZOOKEEPER-2953,Flaky Test: testNoLogBeforeLeaderEstablishment,https://issues.apache.org/jira/browse/ZOOKEEPER-2953,,12310801,Resolved,apache_jira_description_comments/ZOOKEEPER-2953_description.txt,Fixed,apache_jira_description_comments/ZOOKEEPER-2953_comments.txt
IGNITE-12611,EntryProcessorPermissionCheckTest.test: Test looks flaky,https://issues.apache.org/jira/browse/IGNITE-12611,,12315922,Resolved,apache_jira_description_comments/IGNITE-12611_description.txt,Fixed,apache_jira_description_comments/IGNITE-12611_comments.txt
ZOOKEEPER-3089,Flaky test:StaticHostProviderTest.testNextDoesNotSleepForZero,https://issues.apache.org/jira/browse/ZOOKEEPER-3089,,12310801,Closed,apache_jira_description_comments/ZOOKEEPER-3089_description.txt,Not A Problem,apache_jira_description_comments/ZOOKEEPER-3089_comments.txt
