repo,sha,module,test,category,strategy,java,run1,run2,all_runs,verdict,logs,note
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension_Adaptive,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension_Adaptive,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension_NoExtend,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.common.extension.ExtensionLoaderTest.test_AddExtension_NoExtend,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_replaceExtension,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.common.extension.ExtensionLoaderTest.test_replaceExtension,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-common,org.apache.dubbo.common.extension.ExtensionLoaderTest.test_replaceExtension_Adaptive,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.common.extension.ExtensionLoaderTest.test_replaceExtension_Adaptive,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-config/dubbo-config-api,org.apache.dubbo.config.ServiceConfigTest.testProxy,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.config.ServiceConfigTest.testProxy,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-cluster,org.apache.dubbo.rpc.cluster.StickyTest.testMethodStickyNoCheck,NIO;OD-Vic,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.rpc.cluster.StickyTest.testMethodStickyNoCheck,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-cluster,org.apache.dubbo.rpc.cluster.StickyTest.testStickyNoCheck,NIO;OD-Vic,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.rpc.cluster.StickyTest.testStickyNoCheck,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.filter.AccessLogFilterTest.testInvokeException,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.rpc.filter.AccessLogFilterTest.testInvokeException,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-rpc/dubbo-rpc-api,org.apache.dubbo.rpc.filter.ExecuteLimitFilterTest.testExecuteLimitInvokeWitException,NIO,flags,8,PASS,ERROR,PASS ERROR,REPRODUCED,/home/srafi/after-cam-ready/od_try/compilation_try_again/nio_verify_logs/7fa9f2568a11c223/org.apache.dubbo.rpc.filter.ExecuteLimitFilterTest.testExecuteLimitInvokeWitException,
