Project URL,SHA Detected,Module Path,com.alibaba.fastjson2.internal.processor.primitives.DateTypeTest.test,TZD,Accepted,https://github.com/alibaba/fastjson2/pull/3159,Merged Commit Sha,# of Commits,Issue ID,Notes,
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,com.alibaba.fastjson2.internal.processor.primitives.UtilTypeTest.test,TZD,Accepted,https://github.com/alibaba/fastjson2/pull/3166,ee139d6919c590cb8d774361ac2724b3ab5c33f2,2,,https://github.com/TestingResearchIllinois/idoft/issues/90,
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,OD,Accepted,https://github.com/abel533/Mapper/pull/838,ee139d6919c590cb8d774361ac2724b3ab5c33f3,2,,https://github.com/TestingResearchIllinois/idoft/issues/90,
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,OD,Accepted,https://github.com/abel533/Mapper/pull/838,ee139d6919c590cb8d774361ac2724b3ab5c33f4,2,,https://github.com/TestingResearchIllinois/idoft/issues/90,
https://github.com/abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,OD,Accepted,https://github.com/abel533/Mapper/pull/838,ee139d6919c590cb8d774361ac2724b3ab5c33f5,2,,https://github.com/TestingResearchIllinois/idoft/issues/90,
https://github.com/Accenture/mercury,e659caf000c2a714d921a52cbc85e13f56cef981,system/platform-core,org.platformlambda.core.PostOfficeTest.journalYamlTest,ID,Accepted,https://github.com/Accenture/mercury/pull/143,2528e2354296760b67afb93a7d0d7ea4337a59e0,1,,,
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.engine.test.cfg.RetryInterceptorTest.testRetryInterceptor,NIO,Accepted,https://github.com/Activiti/Activiti/pull/3488,70bb975a68b69c9668ca454fb6122f3abb4c8e86,2,,,
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.standalone.validation.DisabledSchemaValidationTest.testDisableValidation,NIO,Accepted,https://github.com/Activiti/Activiti/pull/3487,6d954ddb8567666ffa56f36cd4e3ea8ec9e3b077,2,,,
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v1.PageImplTest.testPage,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,4627ddd56ba4ba5321c86d4bbfd2ea027f2e3fbc,2,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52,
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest.testPage,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,4627ddd56ba4ba5321c86d4bbfd2ea027f2e3fbc,2,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52,
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v2.PageImplTest.testPageWithDeprecatedCaconfig,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,4627ddd56ba4ba5321c86d4bbfd2ea027f2e3fbc,2,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52,
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest.testPage,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,4627ddd56ba4ba5321c86d4bbfd2ea027f2e3fbc,2,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52,
https://github.com/adobe/aem-core-wcm-components,5f29cc86b17b6db36cc617805295eb951b6504a1,bundles/core,com.adobe.cq.wcm.core.components.internal.models.v3.PageImplTest.testPageWithDeprecatedCaconfig,ID,Accepted,https://github.com/adobe/aem-core-wcm-components/pull/2894,4627ddd56ba4ba5321c86d4bbfd2ea027f2e3fbc,2,,https://github.com/wcm-io/io.wcm.testing.aem-mock/pull/52,
https://github.com/adobe/asset-share-commons,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsDownloadServletTest.doPost,ID,Accepted,https://github.com/adobe/asset-share-commons/pull/672,a7b1dece99b3123934a5830b024c9a5d62411841,2,,issue: https://github.com/adobe/asset-share-commons/issues/673,
https://github.com/adobe/asset-share-commons,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest.getZipEntryName,ID,Accepted,https://github.com/adobe/asset-share-commons/pull/672,a7b1dece99b3123934a5830b024c9a5d62411842,2,,issue: https://github.com/adobe/asset-share-commons/issues/673,
https://github.com/adobe/asset-share-commons,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest.getZipEntryName_GenerateUniqueZipFileNameEntry,ID,Accepted,https://github.com/adobe/asset-share-commons/pull/672,a7b1dece99b3123934a5830b024c9a5d62411843,2,,issue: https://github.com/adobe/asset-share-commons/issues/673,
https://github.com/adobe/asset-share-commons,ee3ef7051e3ea3eb7f5d904fac177bc56623c6ed,core,com.adobe.aem.commons.assetshare.content.renditions.download.impl.AssetRenditionsZipperImplTest.pack,ID,Accepted,https://github.com/adobe/asset-share-commons/pull/672,a7b1dece99b3123934a5830b024c9a5d62411844,2,,issue: https://github.com/adobe/asset-share-commons/issues/673,
https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAchDetailsSerialization,ID,Accepted,https://github.com/Adyen/adyen-java-api-library/pull/681,,25,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library,
https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAmazonPayDetailsSerialization,ID,Accepted,https://github.com/Adyen/adyen-java-api-library/pull/681,,25,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library,
https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAndroidPayDetails,ID,Accepted,https://github.com/Adyen/adyen-java-api-library/pull/681,,25,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library,
https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestApplePayDetailsSerialization,ID,Accepted,https://github.com/Adyen/adyen-java-api-library/pull/681,,25,,A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library,
