MESOS-1854,SlaveRecoveryTest.MultipleSlaves is flaky.,https://issues.apache.org/jira/browse/MESOS-1854,,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-277,Java test framework test is flaky,https://issues.apache.org/jira/browse/MESOS-277,,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-395,FaultToleranceTest.SchedulerFailoverFrameworkMessage test is flaky.,https://issues.apache.org/jira/browse/MESOS-395,,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-400,Example Java framework test is flaky,https://issues.apache.org/jira/browse/MESOS-400,,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-402,CoordinatorTest.TruncateNotLearnedFill test is flaky,https://issues.apache.org/jira/browse/MESOS-402,,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-411,Statistics.archive test is flaky.,https://issues.apache.org/jira/browse/MESOS-411,,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-512,GroupTest.MultipleGroups is flaky.,https://issues.apache.org/jira/browse/MESOS-512,,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-615,AllocatorTest/0.RoleTest is flaky.,https://issues.apache.org/jira/browse/MESOS-615,twitter,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-6784,IOSwitchboardTest.KillSwitchboardContainerDestroyed is flaky,https://issues.apache.org/jira/browse/MESOS-6784,mesosphere,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MESOS-7515,MasterAllocatorTest/0.ResourcesUnused is flaky,https://issues.apache.org/jira/browse/MESOS-7515,mesosphere,12311242,MESOS,Mesos,Resolved,Fixed,https://github.com/apache/mesos
MODELER-2,[modeler] Registry insufficiently synchronized,https://issues.apache.org/jira/browse/MODELER-2,,12310486,MODELER,Commons Modeler,Closed,Fixed,https://github.com/apache/commons modeler
MSHARED-862,DirectoryScannerTest looks flaky,https://issues.apache.org/jira/browse/MSHARED-862,,12317922,MSHARED,Maven Shared Components,Closed,Fixed,https://github.com/apache/maven shared components
OLTU-170,Exception when obtaining access token for LINKED IN,https://issues.apache.org/jira/browse/OLTU-170,,12314420,OLTU,Apache Oltu,Closed,Fixed,https://github.com/apache/apache oltu
OPENJPA-1477,Multithreaded attempt to set Query parameter occassionally fails,https://issues.apache.org/jira/browse/OPENJPA-1477,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-1559,DataCacheManager initialization isn't thread safe.,https://issues.apache.org/jira/browse/OPENJPA-1559,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-1624,Fix intermittent datacache timeout failures in TestSJVMCache and CacheTest,https://issues.apache.org/jira/browse/OPENJPA-1624,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-1727,QueryCache TIMESTAMP eviction policy doesn't evict a timed out query if it returns zero results.,https://issues.apache.org/jira/browse/OPENJPA-1727,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-1970,CPU spinning forever at TreeMap.get in Schema.java ,https://issues.apache.org/jira/browse/OPENJPA-1970,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-2330,Stackoverflow due to endless recursive calls,https://issues.apache.org/jira/browse/OPENJPA-2330,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-2386,Support for JAVA 8,https://issues.apache.org/jira/browse/OPENJPA-2386,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-743,OptimisticLockException persisting collection containing Lob fields with Oracle,https://issues.apache.org/jira/browse/OPENJPA-743,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-912,Potential NPE in setInverseRelation,https://issues.apache.org/jira/browse/OPENJPA-912,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
OPENJPA-98,Java deadlock when insert in t1 and find in t2 when using IBM JVM 1.5.0,https://issues.apache.org/jira/browse/OPENJPA-98,,12310351,OPENJPA,OpenJPA,Closed,Fixed,https://github.com/apache/openjpa
QPIDJMS-125,Refactor the local transaction context for better thread safety and failover support,https://issues.apache.org/jira/browse/QPIDJMS-125,,12314524,QPIDJMS,Qpid JMS,Closed,Fixed,https://github.com/apache/qpid jms
QPIDJMS-204,Race condition on Producer / Consumer create can miss remote close signal,https://issues.apache.org/jira/browse/QPIDJMS-204,,12314524,QPIDJMS,Qpid JMS,Closed,Fixed,https://github.com/apache/qpid jms
QPIDJMS-267,Support discovery of failover hosts provided in a connection property of the Open frame,https://issues.apache.org/jira/browse/QPIDJMS-267,,12314524,QPIDJMS,Qpid JMS,Closed,Fixed,https://github.com/apache/qpid jms
QPIDJMS-274,Be able to REJECT messages in JmsRedeliveryPolicy,https://issues.apache.org/jira/browse/QPIDJMS-274,,12314524,QPIDJMS,Qpid JMS,Closed,Fixed,https://github.com/apache/qpid jms
QPIDJMS-283,Pipeline the declare that follows a transaction discharge for quicker processing,https://issues.apache.org/jira/browse/QPIDJMS-283,,12314524,QPIDJMS,Qpid JMS,Closed,Fixed,https://github.com/apache/qpid jms
QPIDJMS-292,consumers may buffer vastly more messages than expected for their 'prefetch' value,https://issues.apache.org/jira/browse/QPIDJMS-292,,12314524,QPIDJMS,Qpid JMS,Closed,Fixed,https://github.com/apache/qpid jms
QPIDJMS-98,Investigate random failures for tests in CI,https://issues.apache.org/jira/browse/QPIDJMS-98,,12314524,QPIDJMS,Qpid JMS,Closed,Fixed,https://github.com/apache/qpid jms
